*****************************************************************
Leaves: 1
Total: 3, fails: 3, repeat at: x0

******************************************************************
Leaves: 2
Leaves: 2, i: 15, Add::make(x0, y0) -> Left-associativity with identity: { 0 }
Leaves: 2, i: 17, Mul::make(x0, y0) -> Left-associativity with identity: { 1 }
Leaves: 2, i: 18, Min::make(x0, y0) -> Left-associativity with identity: { 2147483647 }
Leaves: 2, i: 19, Max::make(x0, y0) -> Left-associativity with identity: { -2147483648 }
Total: 30, fails: 26, repeat at: Add::make(x0, k0)

******************************************************************
Leaves: 3
Leaves: 3, i: 19, Max::make(Min::make(x0, k0), y0) -> Left-associativity with identity: { -2147483648 }
Leaves: 3, i: 23, Min::make(Max::make(x0, k0), y0) -> Left-associativity with identity: { 2147483647 }
Leaves: 3, i: 194, Max::make(Min::make(y0, k0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 3, i: 198, Min::make(Max::make(y0, k0), x0) -> Right-associativity with identity: { 2147483647 }
Total: 300, fails: 296, repeat at: Add::make(Add::make(x0, k0), y0)

******************************************************************
Leaves: 4
Leaves: 4, i: 2834, Max::make(Min::make(Sub::make(k0, x0), y0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 4, i: 2843, Min::make(Max::make(Sub::make(k0, x0), y0), x0) -> Right-associativity with identity: { 2147483647 }
Total: 9000, fails: 8998, repeat at: Add::make(Add::make(Add::make(x0, k0), y0), x0)

******************************************************************
Leaves: 5
Leaves: 5, i: 25684, Max::make(Min::make(Sub::make(x0, y0), Min::make(y0, k0)), y0) -> Left-associativity with identity: { 0 }
Leaves: 5, i: 28693, Min::make(Max::make(Sub::make(x0, y0), Max::make(y0, k0)), y0) -> Left-associativity with identity: { 0 }
Leaves: 5, i: 37784, Max::make(Min::make(Mul::make(x0, y0), Min::make(y0, k0)), y0) -> Left-associativity with identity: { 0 }
Leaves: 5, i: 42293, Min::make(Max::make(Mul::make(x0, y0), Max::make(y0, k0)), y0) -> Left-associativity with identity: { 0 }
Leaves: 5, i: 48863, Min::make(Sub::make(y0, Min::make(Sub::make(y0, x0), x0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 5, i: 49314, Max::make(Sub::make(y0, Max::make(Sub::make(y0, x0), x0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 5, i: 55844, Max::make(Max::make(Min::make(Sub::make(y0, x0), x0), y0), x0) -> Left-associativity with identity: { -2147483648 }
Leaves: 5, i: 55933, Min::make(Min::make(Max::make(Sub::make(y0, x0), x0), y0), x0) -> Left-associativity with identity: { 2147483647 }
Leaves: 5, i: 56863, Min::make(Sub::make(Max::make(Add::make(x0, y0), k0), y0), x0) -> Right-associativity with identity: { 0 }
Leaves: 5, i: 68834, Max::make(Min::make(Min::make(Mul::make(x0, x0), x0), y0), x0) -> Right-associativity with identity: { 0 }
Leaves: 5, i: 68943, Min::make(Max::make(Max::make(Mul::make(x0, x0), x0), y0), x0) -> Right-associativity with identity: { 0 }
Leaves: 5, i: 76344, Max::make(Max::make(Min::make(Mul::make(x0, y0), x0), y0), x0) -> Left-associativity with identity: { -2147483648 }
Leaves: 5, i: 76433, Min::make(Min::make(Max::make(Mul::make(x0, y0), x0), y0), x0) -> Left-associativity with identity: { 2147483647 }
Leaves: 5, i: 127763, Min::make(Sub::make(k0, Min::make(Sub::make(k0, x0), y0)), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 5, i: 128214, Max::make(Sub::make(k0, Max::make(Sub::make(k0, x0), y0)), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 5, i: 146634, Max::make(Min::make(Sub::make(k0, Min::make(x0, y0)), y0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 5, i: 149643, Min::make(Max::make(Sub::make(k0, Max::make(x0, y0)), y0), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 5, i: 158344, Max::make(Max::make(Min::make(Sub::make(x0, y0), y0), x0), y0) -> Left-associativity with identity: { -2147483648 }
Leaves: 5, i: 158433, Min::make(Min::make(Max::make(Sub::make(x0, y0), y0), x0), y0) -> Left-associativity with identity: { 2147483647 }
Leaves: 5, i: 172463, Min::make(Sub::make(x0, Min::make(Sub::make(x0, y0), k0)), y0) -> Left-associativity with identity: { -1 }
Leaves: 5, i: 172914, Max::make(Sub::make(x0, Max::make(Sub::make(x0, y0), k0)), y0) -> Left-associativity with identity: { -1 }
Leaves: 5, i: 205684, Max::make(Min::make(Sub::make(x0, y0), Min::make(y0, k0)), y0) -> Left-associativity with identity: { 0 }
Leaves: 5, i: 208693, Min::make(Max::make(Sub::make(x0, y0), Max::make(y0, k0)), y0) -> Left-associativity with identity: { 0 }
Leaves: 5, i: 225613, Min::make(Sub::make(Max::make(Add::make(x0, k0), y0), k0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 5, i: 233844, Max::make(Max::make(Min::make(Mul::make(x0, y0), y0), x0), y0) -> Left-associativity with identity: { -2147483648 }
Leaves: 5, i: 233933, Min::make(Min::make(Max::make(Mul::make(x0, y0), y0), x0), y0) -> Right-associativity with identity: { 2147483647 }
Leaves: 5, i: 235834, Max::make(Min::make(Min::make(Sub::make(y0, x0), x0), k0), x0) -> Right-associativity with identity: { 0 }
Leaves: 5, i: 235943, Min::make(Max::make(Max::make(Sub::make(y0, x0), x0), k0), x0) -> Right-associativity with identity: { 0 }
Leaves: 5, i: 259363, Min::make(Sub::make(Max::make(Add::make(x0, y0), k0), x0), y0) -> Left-associativity with identity: { 0 }
Total: 270000, fails: 269971, repeat at: Add::make(Add::make(Add::make(Add::make(x0, k0), y0), x0), x0)

******************************************************************
Leaves: 6
^[Leaves: 6, i: 66505, Add::make(Min::make(Sub::make(x0, y0), k0), Max::make(Sub::make(x0, k0), y0)) -> Right-associativity with identity: { -1 }
Leaves: 6, i: 1115824, Max::make(Min::make(Min::make(Mul::make(x0, x0), x0), Sub::make(k0, y0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1115988, Min::make(Max::make(Max::make(Mul::make(x0, x0), x0), Sub::make(k0, y0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1116124, Max::make(Min::make(Add::make(Min::make(x0, y0), y0), Sub::make(x0, y0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1116888, Min::make(Max::make(Add::make(Max::make(x0, y0), y0), Sub::make(x0, y0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1172974, Max::make(Min::make(Max::make(Min::make(x0, k0), y0), Sub::make(k0, x0)), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1173588, Min::make(Max::make(Min::make(Max::make(x0, k0), y0), Sub::make(k0, x0)), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 6, i: 1199868, Min::make(Sub::make(Max::make(y0, k0), Min::make(Sub::make(k0, x0), x0)), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1208569, Max::make(Sub::make(Min::make(y0, k0), Max::make(Sub::make(k0, x0), x0)), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 6, i: 1250029, Max::make(Add::make(Min::make(Sub::make(x0, y0), y0), Min::make(x0, y0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1258653, Min::make(Add::make(Sub::make(Max::make(x0, y0), Min::make(x0, y0)), x0), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 6, i: 1272529, Max::make(Add::make(Min::make(Sub::make(x0, y0), k0), Min::make(x0, y0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1274838, Min::make(Max::make(Min::make(Max::make(x0, y0), k0), Min::make(x0, y0)), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 6, i: 1317678, Min::make(Add::make(Max::make(Sub::make(x0, y0), y0), Max::make(x0, y0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1318324, Max::make(Min::make(Min::make(Mul::make(x0, x0), x0), Min::make(k0, y0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1323904, Max::make(Add::make(Sub::make(Min::make(x0, y0), Max::make(x0, y0)), x0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1340178, Min::make(Add::make(Max::make(Sub::make(x0, y0), k0), Max::make(x0, y0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1341724, Max::make(Min::make(Max::make(Min::make(x0, y0), k0), Max::make(x0, y0)), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1354774, Max::make(Min::make(Sub::make(Min::make(x0, k0), y0), Add::make(x0, y0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1356288, Min::make(Max::make(Sub::make(Max::make(x0, k0), y0), Add::make(x0, y0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1359213, Min::make(Max::make(Sub::make(Max::make(Add::make(x0, k0), y0), k0), y0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1373014, Max::make(Max::make(Min::make(Add::make(Min::make(x0, k0), y0), x0), y0), x0) -> Left-associativity with identity: { -2147483648 }
Leaves: 6, i: 1373148, Min::make(Min::make(Max::make(Add::make(Min::make(x0, k0), y0), x0), y0), x0) -> Left-associativity with identity: { 2147483647 }
Leaves: 6, i: 1376014, Max::make(Max::make(Min::make(Mul::make(Min::make(x0, k0), y0), x0), y0), x0) -> Left-associativity with identity: { -2147483648 }
Leaves: 6, i: 1376148, Min::make(Min::make(Max::make(Mul::make(Min::make(x0, k0), y0), x0), y0), x0) -> Left-associativity with identity: { 2147483647 }
Leaves: 6, i: 1380514, Max::make(Max::make(Min::make(Add::make(Max::make(x0, k0), y0), x0), y0), x0) -> Left-associativity with identity: { -2147483648 }
Leaves: 6, i: 1380648, Min::make(Min::make(Max::make(Add::make(Max::make(x0, k0), y0), x0), y0), x0) -> Left-associativity with identity: { 2147483647 }
Leaves: 6, i: 1383514, Max::make(Max::make(Min::make(Mul::make(Max::make(x0, k0), y0), x0), y0), x0) -> Left-associativity with identity: { -2147483648 }
Leaves: 6, i: 1383648, Min::make(Min::make(Max::make(Mul::make(Max::make(x0, k0), y0), x0), y0), x0) -> Left-associativity with identity: { 2147483647 }
Leaves: 6, i: 1411218, Min::make(Sub::make(Max::make(Add::make(Max::make(x0, k0), x0), y0), x0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1419738, Min::make(Max::make(Max::make(Mul::make(x0, x0), x0), Max::make(k0, y0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1486279, Max::make(Add::make(Min::make(Sub::make(x0, k0), y0), Min::make(x0, k0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1488588, Min::make(Max::make(Min::make(Max::make(x0, k0), y0), Min::make(x0, k0)), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 6, i: 1501443, Min::make(Sub::make(x0, Min::make(Sub::make(x0, y0), Add::make(y0, k0))), y0) -> Left-associativity with identity: { -1 }
Leaves: 6, i: 1502344, Max::make(Sub::make(x0, Max::make(Sub::make(x0, y0), Add::make(y0, k0))), y0) -> Left-associativity with identity: { 0 }
Leaves: 6, i: 1512514, Max::make(Max::make(Min::make(Min::make(Sub::make(y0, x0), x0), k0), y0), x0) -> Left-associativity with identity: { -2147483648 }
Leaves: 6, i: 1512649, Max::make(Min::make(Max::make(Min::make(Sub::make(y0, x0), x0), k0), y0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1514013, Min::make(Max::make(Min::make(Max::make(Sub::make(y0, x0), x0), k0), y0), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 6, i: 1514148, Min::make(Min::make(Max::make(Max::make(Sub::make(y0, x0), x0), k0), y0), x0) -> Left-associativity with identity: { 2147483647 }
Leaves: 6, i: 1531428, Min::make(Add::make(Max::make(Sub::make(x0, k0), y0), Max::make(x0, k0)), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1532974, Max::make(Min::make(Max::make(Min::make(x0, k0), y0), Max::make(x0, k0)), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1550149, Max::make(Min::make(Max::make(Min::make(Sub::make(k0, x0), x0), k0), y0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1551513, Min::make(Max::make(Min::make(Max::make(Sub::make(k0, x0), x0), k0), y0), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 6, i: 1632663, Min::make(Max::make(Max::make(Min::make(Mul::make(y0, k0), y0), k0), y0), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 6, i: 1633999, Max::make(Min::make(Min::make(Max::make(Mul::make(y0, k0), y0), k0), y0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1636218, Min::make(Sub::make(Max::make(Add::make(Max::make(x0, y0), x0), y0), x0), x0) -> Right-associativity with identity: { -1560281088 }
Leaves: 6, i: 1653274, Max::make(Min::make(Sub::make(Mul::make(y0, y0), x0), Min::make(y0, k0)), y0) -> Left-associativity with identity: { 0 }
Leaves: 6, i: 1662663, Min::make(Max::make(Max::make(Min::make(Sub::make(k0, y0), y0), k0), y0), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 6, i: 1663999, Max::make(Min::make(Min::make(Max::make(Sub::make(k0, y0), y0), k0), y0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1711279, Max::make(Add::make(Min::make(Sub::make(x0, k0), y0), Min::make(y0, k0)), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 6, i: 1720024, Max::make(Min::make(Sub::make(x0, Mul::make(y0, y0)), Min::make(y0, k0)), y0) -> Left-associativity with identity: { 0 }
Leaves: 6, i: 1728130, Add::make(Min::make(Sub::make(x0, k0), y0), Max::make(Sub::make(x0, y0), k0)) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1756428, Min::make(Add::make(Max::make(Sub::make(x0, k0), y0), Max::make(y0, k0)), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1771443, Min::make(Sub::make(x0, Min::make(Sub::make(x0, y0), Sub::make(y0, k0))), y0) -> Left-associativity with identity: { 0 }
Leaves: 6, i: 1772344, Max::make(Sub::make(x0, Max::make(Sub::make(x0, y0), Sub::make(y0, k0))), y0) -> Left-associativity with identity: { -1 }
Leaves: 6, i: 1855788, Min::make(Max::make(Sub::make(Mul::make(y0, y0), x0), Max::make(y0, k0)), y0) -> Left-associativity with identity: { 0 }
Leaves: 6, i: 1861218, Min::make(Sub::make(Max::make(Add::make(Max::make(x0, k0), y0), k0), y0), x0) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 1874224, Max::make(Min::make(Max::make(Min::make(y0, k0), x0), Sub::make(k0, y0)), y0) -> Left-associativity with identity: { -2147483648 }
Leaves: 6, i: 1874838, Min::make(Max::make(Min::make(Max::make(y0, k0), x0), Sub::make(k0, y0)), y0) -> Left-associativity with identity: { 2147483647 }
Leaves: 6, i: 1922538, Min::make(Max::make(Sub::make(x0, Mul::make(y0, y0)), Max::make(y0, k0)), y0) -> Left-associativity with identity: { 0 }
Leaves: 6, i: 1932649, Max::make(Min::make(Max::make(Min::make(Mul::make(x0, k0), x0), k0), y0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 1934013, Min::make(Max::make(Min::make(Max::make(Mul::make(x0, k0), x0), k0), y0), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 6, i: 1962063, Min::make(Max::make(Add::make(Min::make(Sub::make(y0, x0), k0), y0), y0), x0) -> Right-associativity with identity: { 2147483647 }
Leaves: 6, i: 1963549, Max::make(Min::make(Add::make(Max::make(Sub::make(y0, x0), k0), y0), y0), x0) -> Right-associativity with identity: { -2147483648 }
Leaves: 6, i: 2027304, Max::make(Min::make(Add::make(Min::make(x0, k0), y0), x0), Add::make(x0, y0)) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 2028068, Min::make(Max::make(Add::make(Max::make(x0, k0), y0), x0), Add::make(x0, y0)) -> Right-associativity with identity: { 0 }
Leaves: 6, i: 2041284, Max::make(Add::make(Min::make(x0, y0), Min::make(x0, k0)), Add::make(x0, y0)) -> Left-associativity with identity: { 0 }
